;LIMIT_BAL;AGE;PAY_0;default_payment
199;1000000;47;0;0
957;720000;45;0;0
520;640000;36;0;0
1074;620000;39;0;0
2035;620000;38;-1;0
2217;600000;36;0;0
2179;580000;32;-1;0
618;570000;31;0;0
1960;570000;28;0;0
2093;550000;32;2;0
2556;550000;44;0;0
301;550000;49;-1;0
2448;550000;33;-2;0
2481;530000;35;0;0
2508;530000;54;-2;0
464;520000;33;0;0
1400;520000;38;0;0
1012;510000;35;-1;0
80;500000;43;1;0
2219;500000;47;1;0
2580;500000;35;1;0
168;500000;46;0;0
354;500000;40;0;0
376;500000;32;0;0
418;500000;40;0;0
633;500000;30;0;0
785;500000;51;0;0
922;500000;34;0;0
1131;500000;38;0;0
1289;500000;42;0;0
1340;500000;31;0;0
1387;500000;33;0;0
1442;500000;30;0;0
1452;500000;39;0;0
1477;500000;31;0;0
1489;500000;26;0;0
1565;500000;43;0;0
1574;500000;35;0;0
1908;500000;54;0;0
1992;500000;44;0;0
2083;500000;44;0;0
2198;500000;41;0;0
2428;500000;39;0;0
2478;500000;31;0;0
2484;500000;32;0;0
2716;500000;31;0;0
105;500000;45;-1;0
395;500000;53;-1;0
403;500000;41;-1;0
1006;500000;41;-1;0
1052;500000;48;-1;0
1232;500000;29;-1;0
1270;500000;44;-1;0
1329;500000;39;-1;0
1790;500000;34;-1;0
1821;500000;54;-1;0
2316;500000;26;-1;0
2585;500000;33;-1;0
2631;500000;39;-1;0
241;500000;44;-2;0
454;500000;30;-2;0
531;500000;30;-2;0
748;500000;38;-2;0
911;500000;36;-2;0
1210;500000;35;-2;0
1794;500000;47;-2;0
1862;500000;44;-2;0
1931;500000;37;-2;0
1976;500000;29;-2;0
1978;500000;29;-2;0
2078;500000;48;-2;0
2087;500000;36;-2;0
2113;500000;49;-2;0
2117;500000;37;-2;0
2125;500000;53;-2;0
2614;500000;36;-2;0
39;490000;30;0;0
2068;490000;33;0;0
2104;490000;31;0;0
2351;490000;30;0;0
2606;490000;34;0;0
379;480000;30;1;0
815;480000;39;0;0
1315;480000;40;0;0
1696;480000;30;0;0
1693;470000;30;0;0
1305;470000;33;-1;0
2214;470000;40;-1;0
2349;470000;37;-2;0
2648;460000;50;0;0
865;460000;36;-1;0
2167;460000;28;-1;0
576;450000;36;1;0
1132;450000;35;0;0
1280;450000;32;0;0
2124;450000;37;0;0
2341;450000;32;0;0
486;450000;42;-1;0
776;450000;46;-1;0
800;450000;33;-1;0
910;450000;46;-1;0
2382;450000;36;-1;0
2579;450000;36;-1;0
2607;450000;35;-1;0
23;440000;46;0;0
821;440000;29;0;0
2061;440000;36;0;0
2373;440000;28;0;0
198;440000;37;-1;0
842;440000;28;-2;0
281;430000;42;0;0
1818;430000;50;0;0
2225;430000;39;0;0
341;430000;48;-1;0
600;430000;43;-1;0
290;430000;39;-2;0
790;430000;32;-2;0
1409;430000;27;-2;0
2231;430000;40;-2;0
2449;420000;46;2;0
79;420000;34;0;0
356;420000;30;0;0
1083;420000;34;0;0
1087;420000;42;0;0
1675;420000;28;0;0
1810;420000;49;0;0
1980;420000;29;0;0
2577;420000;34;0;0
169;420000;35;-1;0
1309;420000;47;-1;0
1617;420000;36;-1;0
2555;420000;39;-2;0
1438;410000;37;0;0
2302;410000;42;0;0
1191;410000;37;-1;0
2245;410000;46;-1;0
799;400000;32;1;0
998;400000;32;1;0
2140;400000;51;1;0
157;400000;34;0;0
247;400000;30;0;0
304;400000;38;0;0
500;400000;33;0;0
722;400000;32;0;0
771;400000;46;0;0
1495;400000;29;0;0
1863;400000;42;0;0
1982;400000;30;0;0
2186;400000;29;0;0
1020;400000;31;-1;0
1029;400000;37;-1;0
1195;400000;41;-1;0
2040;400000;42;-1;0
